var	cid	val
AnHla	201	1
AnHla	202	1
AnHla	203	0
AnHla	204	0
AnHla	205	0
AnHla	206	0
AnHla	207	0
AnHla	208	1
AnHla	209	1
AnHla	210	1
AnHla	211	1
AnHla	212	0
AnHla	213	1
AnHla	214	0
AnHla	215	1
AnHla	216	0
AnHla	217	1
AnHla	218	0
AnHla	219	0
AnHla	220	1
AnHla	221	1
AnHla	222	0
AnHla	223	0
AnHla	224	1
AnHla	225	1
AnHla	226	1
AnHla	227	1
AnHla	228	1
AnHla	229	0
AnHla	230	1
AnHla	231	0
AnHla	232	0
AnHla	233	0
AnHla	234	0
AnHla	235	1
AnHla	236	0
AnHla	237	1
AnHla	238	0
AnHla	239	0
AnHla	240	0
AnHla	241	0
AnHla	242	0
AnHla	243	1
AnHla	244	0
AnHla	245	0
AnHla	246	0
AnHla	247	1
AnHla	248	1
AnHla	249	1
AnHla	250	1
AnHla	251	0
AnHla	252	0
AnHla	253	0
AnHla	254	1
AnHla	255	1
AnHla	256	1
AnHla	257	0
AnHla	258	0
AnHla	259	1
AnHla	260	0
AnHla	261	0
AnHla	262	0
AnHla	263	1
AnHla	264	1
AnHla	265	1
AnHla	266	0
AnHla	267	1
AnHla	268	1
AnHla	269	1
AnHla	270	1
AnHla	271	0
AnHla	272	0
AnHla	273	1
AnHla	274	0
AnHla	275	1
AnHla	276	1
AnHla	277	0
AnHla	278	1
AnHla	279	1
AnHla	280	1
AnHla	281	1
AnHla	282	1
AnHla	283	0
AnHla	284	1
AnHla	285	1
AnHla	286	0
AnHla	287	1
AnHla	288	1
AnHla	289	0
AnHla	290	0
AnHla	291	1
AnHla	292	0
AnHla	293	1
AnHla	294	0
AnHla	295	0
AnHla	296	0
AnHla	297	1
AnHla	298	0
AnHla	299	1
AnHla	300	0
AnHla	301	0
AnHla	302	0
AnHla	303	1
AnHla	304	0
AnHla	305	1
AnHla	306	0
AnHla	307	1
AnHla	308	1
AnHla	309	0
AnHla	310	0
AnHla	311	0
AnHla	312	0
AnHla	313	1
AnHla	314	1
AnHla	315	0
AnHla	316	1
AnHla	317	0
AnHla	318	1
AnHla	319	1
AnHla	320	1
AnHla	321	1
AnHla	322	1
AnHla	323	0
AnHla	324	1
AnHla	325	0
AnHla	326	1
AnHla	327	0
AnHla	328	1
AnHla	329	1
AnHla	330	0
AnHla	331	1
AnHla	332	0
AnHla	333	1
AnHla	334	1
AnHla	335	0
AnHla	336	0
AnHla	337	1
AnHla	338	0
AnHla	339	0
AnHla	340	1
AnHla	341	0
AnHla	342	1
AnHla	343	1
AnHla	344	0
AnHla	345	1
AnHla	346	1
AnHla	347	0
AnHla	348	1
AnHla	349	0
AnHla	350	1
AnHla	351	0
AnHla	352	0
AnHla	353	0
AnHla	354	1
AnHla	355	1
AnHla	356	0
AnHla	357	1
AnHla	358	1
AnHla	359	0
AnHla	360	0
AnHla	361	1
AnHla	362	0
AnHla	363	0
AnHla	364	1
AnHla	365	1
AnHla	366	1
AnHla	367	0
AnHla	368	0
AnHla	369	1
AnHla	370	0
AnHla	371	0
AnHla	372	1
AnHla	373	1
AnHla	374	1
AnHla	375	0
AnHla	376	1
AnHla	377	0
AnHla	378	0
AnHla	379	0
AnHla	380	1
AnHla	381	0
AnHla	382	0
AnHla	383	0
AnHla	384	1
AnHla	385	1
AnHla	386	0
AnHla	387	1
AnHla	388	1
AnHla	389	0
AnHla	390	0
AnHla	391	1
AnHla	392	1
AnHla	393	0
AnHla	394	0
AnHla	395	0
AnHla	396	1
AnHla	397	1
AnHla	398	0
AnHla	399	1
AnHla	400	1
AnHla	401	0
AnHla	402	1
AnHla	403	1
AnHla	404	0
AnHla	405	0
AnHla	406	1
AnHla	407	1
AnHla	408	0
AnHla	409	1
AnHla	410	0
AnHla	411	1
AnHla	412	1
AnHla	413	1
AnHla	414	0
AnHla	415	1
AnHla	416	0
AnHla	417	1
AnHla	418	1
AnHla	419	0
AnHla	420	1
AnHla	421	0
AnHla	422	1
AnHla	423	0
AnHla	424	1
AnHla	425	1
AnHla	426	1
AnHla	427	0
AnHla	428	1
AnHla	429	1
AnHla	430	0
AnHla	431	1
AnHla	432	1
AnHla	433	1
AnHla	434	0
AnHla	435	0
AnHla	436	1
AnHla	437	1
AnHla	438	1
AnHla	439	1
AnHla	440	1
AnHla	441	1
AnHla	442	0
AnHla	443	0
AnHla	444	0
AnHla	445	1
AnHla	446	0
AnHla	447	1
AnHla	448	1
AnHla	449	1
AnHla	450	0
AnHla	451	1
AnHla	452	1
AnHla	453	1
AnHla	454	0
AnHla	455	1
AnHla	456	0
AnHla	457	1
AnHla	458	1
AnHla	459	0
AnHla	460	1
AnHla	461	1
AnHla	462	0
AnHla	463	1
AnHla	464	1
AnHla	465	1
AnHla	466	0
AnHla	467	0
AnHla	468	0
AnHla	469	1
AnHla	470	0
AnHla	471	0
AnHla	472	1
AnHla	473	1
AnHla	474	0
AnHla	475	0
AnHla	476	0
AnHla	477	0
AnHla	478	1
AnHla	479	0
AnHla	480	0
AnHla	481	0
AnHla	482	0
AnHla	483	0
AnHla	484	0
AnHla	485	1
AnHla	486	1
AnHla	487	1
AnHla	488	1
AnHla	489	0
AnHla	490	1
AnHla	491	1
AnHla	492	0
AnHla	493	1
AnHla	494	1
AnHla	495	0
AnHla	496	1
AnHla	497	1
AnHla	498	0
AnHla	499	0
AnHla	500	0
AnHla	501	1
AnHla	502	0
AnHla	503	0
AnHla	504	0
AnHla	505	1
AnHla	506	1
AnHla	507	1
AnHla	508	0
AnHla	509	1
AnHla	510	0
AnHla	511	0
AnHla	512	1
AnHla	513	1
AnHla	514	0
AnHla	515	0
AnHla	516	0
AnHla	517	1
AnHla	518	0
AnHla	519	0
AnHla	520	1
AnHla	521	1
AnHla	522	0
AnHla	523	1
AnHla	524	1
AnHla	525	0
AnHla	526	0
AnHla	527	1
AnHla	528	0
AnHla	529	0
AnHla	530	1
AnHla	531	1
AnHla	532	1
AnHla	533	1
AnHla	534	1
AnHla	535	1
AnHla	536	1
AnHla	537	0
AnHla	538	0
AnHla	539	0
AnHla	540	1
AnHla	541	1
AnHla	542	1
AnHla	543	1
AnHla	544	1
AnHla	545	0
AnHla	546	1
AnHla	547	1
AnHla	548	1
AnHla	549	1
AnHla	550	0
AnHla	551	0
AnHla	552	1
AnHla	553	1
AnHla	554	1
AnHla	555	0
AnHla	556	0
AnHla	557	1
AnHla	558	1
AnHla	559	0
AnHla	560	0
AnHla	561	0
AnHla	562	1
AnHla	563	0
AnHla	564	0
AnHla	565	1
AnHla	566	0
AnHla	567	0
AnHla	568	0
AnHla	569	1
AnHla	570	1
AnHla	571	0
AnHla	572	0
AnHla	573	1
AnHla	574	1
AnHla	575	1
AnHla	576	0
AnHla	577	0
AnHla	578	0
AnHla	579	1
AnHla	580	0
AnHla	581	0
AnHla	582	1
AnHla	583	0
AnHla	584	0
AnHla	585	0
AnHla	586	0
AnHla	587	1
AnHla	588	1
AnHla	589	0
AnHla	590	1
AnHla	591	1
AnHla	592	1
AnHla	593	0
AnHla	594	0
AnHla	595	0
AnHla	596	0
AnHla	597	0
AnHla	598	0
AnHla	599	0
AnHla	600	1
AnHla	601	0
AnHla	602	0
AnHla	603	1
AnHla	604	0
AnHla	605	0
AnHla	606	0
AnHla	607	1
AnHla	608	0
AnHla	609	1
AnHla	610	1
AnHla	611	0
AnHla	612	1
AnHla	613	1
AnHla	614	1
AnHla	615	1
AnHla	616	1
AnHla	617	0
AnHla	618	0
AnHla	619	1
AnHla	620	1
AnHla	621	1
AnHla	622	0
AnHla	623	0
AnHla	624	0
AnHla	625	1
AnHla	626	1
AnHla	627	1
AnHla	628	1
AnHla	629	1
AnHla	630	0
AnHla	631	0
AnHla	632	1
AnHla	633	0
AnHla	634	1
AnHla	635	0
AnHla	636	1
AnHla	637	1
AnHla	638	1
AnHla	639	0
AnHla	640	1
AnHla	641	0
AnHla	642	0
AnHla	643	0
AnHla	644	1
AnHla	645	1
AnHla	646	0
AnHla	647	0
AnHla	648	0
AnHla	649	1
AnHla	650	1
AnHla	651	0
AnHla	652	1
AnHla	653	0
AnHla	654	0
AnHla	655	0
AnHla	656	0
AnHla	657	0
AnHla	658	0
AnHla	659	1
AnHla	660	1
AnHla	661	0
AnHla	662	1
AnHla	663	0
AnHla	664	0
AnHla	665	1
AnHla	666	1
AnHla	667	1
AnHla	668	0
AnHla	669	0
AnHla	670	0
AnHla	671	1
AnHla	672	1
AnHla	673	1
AnHla	674	1
AnHla	675	0
AnHla	676	0
AnHla	677	1
AnHla	678	1
AnHla	679	0
AnHla	680	1
AnHla	681	1
AnHla	682	0
AnHla	683	1
AnHla	684	0
AnHla	685	0
AnHla	686	0
AnHla	687	1
AnHla	688	1
AnHla	689	0
AnHla	690	1
AnHla	691	1
AnHla	692	1
AnHla	693	1
AnHla	694	1
AnHla	695	0
AnHla	696	0
AnHla	697	0
AnHla	698	0
AnHla	699	0
AnHla	700	0
AnHla	701	0
AnHla	702	1
AnHla	703	0
AnHla	704	0
AnHla	705	1
AnHla	706	0
AnHla	707	0
AnHla	708	1
AnHla	709	1
AnHla	710	1
AnHla	711	1
AnHla	712	1
AnHla	713	0
AnHla	714	1
AnHla	715	0
AnHla	716	1
AnHla	717	0
AnHla	718	0
AnHla	719	1
AnHla	720	0
AnHla	721	1
AnHla	722	0
AnHla	723	1
AnHla	724	1
AnHla	725	1
AnHla	726	0
AnHla	727	1
AnHla	728	1
AnHla	729	0
AnHla	730	0
AnHla	731	0
AnHla	732	0
AnHla	733	0
AnHla	734	0
AnHla	735	1
AnHla	736	1
AnHla	737	0
AnHla	738	1
AnHla	739	0
AnHla	740	1
AnHla	741	0
AnHla	742	1
AnHla	743	0
AnHla	744	1
AnHla	745	1
AnHla	746	0
AnHla	747	1
AnHla	748	0
AnHla	749	1
AnHla	750	0
AnHla	751	0
AnHla	752	1
AnHla	753	1
AnHla	754	1
AnHla	755	1
AnHla	756	1
AnHla	757	0
AnHla	758	1
AnHla	759	1
AnHla	760	1
AnHla	761	0
AnHla	762	0
AnHla	763	0
AnHla	764	0
AnHla	765	1
