AnyColumn1	NullIndex	AnyColumn2	AnyColumn3	PValue	AnyColumn4
anyValue1	-1	anyValue2	anyValue3	0.0055066	anyValue4
anyValue1	-1	anyValue2	anyValue3	0.00567317	anyValue4
anyValue1	-1	anyValue2	anyValue3	0.016785063	anyValue4
anyValue1	-1	anyValue2	anyValue3	0.020162455	anyValue4
anyValue1	-1	anyValue2	anyValue3	0.039443398	anyValue4
anyValue1	-1	anyValue2	anyValue3	0.033972323	anyValue4
anyValue1	-1	anyValue2	anyValue3	0.028489621	anyValue4
anyValue1	-1	anyValue2	anyValue3	0.003040432	anyValue4
anyValue1	-1	anyValue2	anyValue3	0.031987349	anyValue4
anyValue1	-1	anyValue2	anyValue3	0.020162455	anyValue4
anyValue1	-1	anyValue2	anyValue3	0.03333761	anyValue4
anyValue1	-1	anyValue2	anyValue3	0.027952719	anyValue4
anyValue1	-1	anyValue2	anyValue3	0.010170418	anyValue4
anyValue1	-1	anyValue2	anyValue3	0.049172897	anyValue4
anyValue1	-1	anyValue2	anyValue3	0.00018431	anyValue4
anyValue1	-1	anyValue2	anyValue3	0.048231027	anyValue4
anyValue1	-1	anyValue2	anyValue3	0.014925729	anyValue4
anyValue1	-1	anyValue2	anyValue3	0.026711573	anyValue4
anyValue1	-1	anyValue2	anyValue3	0.020861473	anyValue4
anyValue1	-1	anyValue2	anyValue3	0.009561601	anyValue4
anyValue1	-1	anyValue2	anyValue3	0.015716794	anyValue4
anyValue1	-1	anyValue2	anyValue3	0.010631012	anyValue4
anyValue1	-1	anyValue2	anyValue3	0.040981092	anyValue4
anyValue1	-1	anyValue2	anyValue3	0.013064007	anyValue4
anyValue1	-1	anyValue2	anyValue3	0.010526563	anyValue4
anyValue1	0	anyValue2	anyValue3	0.025414516	anyValue4
anyValue1	0	anyValue2	anyValue3	0.030622787	anyValue4
anyValue1	0	anyValue2	anyValue3	0.00585425	anyValue4
anyValue1	0	anyValue2	anyValue3	0.039443398	anyValue4
anyValue1	0	anyValue2	anyValue3	0.033972323	anyValue4
anyValue1	0	anyValue2	anyValue3	0.028489621	anyValue4
anyValue1	0	anyValue2	anyValue3	0.019253646	anyValue4
anyValue1	0	anyValue2	anyValue3	0.009000634	anyValue4
anyValue1	0	anyValue2	anyValue3	0.014243511	anyValue4
anyValue1	0	anyValue2	anyValue3	0.038968637	anyValue4
anyValue1	0	anyValue2	anyValue3	0.023828459	anyValue4
anyValue1	0	anyValue2	anyValue3	0.017228893	anyValue4
anyValue1	0	anyValue2	anyValue3	0.009754628	anyValue4
anyValue1	0	anyValue2	anyValue3	0.045325299	anyValue4
anyValue1	0	anyValue2	anyValue3	0.019908805	anyValue4
anyValue1	0	anyValue2	anyValue3	0.015118378	anyValue4
anyValue1	0	anyValue2	anyValue3	0.025097159	anyValue4
anyValue1	0	anyValue2	anyValue3	0.010845928	anyValue4
anyValue1	0	anyValue2	anyValue3	0.014367662	anyValue4
anyValue1	0	anyValue2	anyValue3	0.038968637	anyValue4
anyValue1	0	anyValue2	anyValue3	0.010170418	anyValue4
anyValue1	0	anyValue2	anyValue3	0.006290628	anyValue4
anyValue1	0	anyValue2	anyValue3	0.022831493	anyValue4
anyValue1	0	anyValue2	anyValue3	0.010170418	anyValue4
anyValue1	0	anyValue2	anyValue3	0.040366301	anyValue4
anyValue1	0	anyValue2	anyValue3	0.014636033	anyValue4
anyValue1	0	anyValue2	anyValue3	0.04961405	anyValue4
anyValue1	0	anyValue2	anyValue3	0.005867354	anyValue4
anyValue1	0	anyValue2	anyValue3	0.022001986	anyValue4
anyValue1	0	anyValue2	anyValue3	0.024974984	anyValue4
anyValue1	0	anyValue2	anyValue3	0.010301514	anyValue4
anyValue1	0	anyValue2	anyValue3	0.011089748	anyValue4
anyValue1	0	anyValue2	anyValue3	0.048600962	anyValue4
anyValue1	0	anyValue2	anyValue3	0.019887615	anyValue4
anyValue1	0	anyValue2	anyValue3	0.023036052	anyValue4
anyValue1	0	anyValue2	anyValue3	0.020162455	anyValue4
anyValue1	0	anyValue2	anyValue3	0.020002705	anyValue4
anyValue1	0	anyValue2	anyValue3	0.027952634	anyValue4
anyValue1	0	anyValue2	anyValue3	0.014925729	anyValue4
anyValue1	0	anyValue2	anyValue3	0.049311349	anyValue4
anyValue1	0	anyValue2	anyValue3	0.020162455	anyValue4
anyValue1	0	anyValue2	anyValue3	0.00912882	anyValue4
anyValue1	0	anyValue2	anyValue3	0.010845928	anyValue4
anyValue1	0	anyValue2	anyValue3	0.001368425	anyValue4
anyValue1	0	anyValue2	anyValue3	0.001094967	anyValue4
anyValue1	0	anyValue2	anyValue3	0.025193329	anyValue4
anyValue1	0	anyValue2	anyValue3	0.002659774	anyValue4
anyValue1	0	anyValue2	anyValue3	0.025097159	anyValue4
anyValue1	0	anyValue2	anyValue3	0.0452839	anyValue4
anyValue1	0	anyValue2	anyValue3	0.018079567	anyValue4
anyValue1	0	anyValue2	anyValue3	0.019648744	anyValue4
anyValue1	0	anyValue2	anyValue3	0.048469475	anyValue4
anyValue1	0	anyValue2	anyValue3	0.021228701	anyValue4
